Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Pistes cyclables;Oui;VOIE 50;SENS CIRCULATION GENERALE;Quai d'Issy-les-Moulineaux;15;Non;256.35098973;0.25635098973;;;;;;;2020-12-31;"{""coordinates"": [[2.2696301455968513, 48.83861291850597], [2.2695588206964588, 48.83855775248398], [2.2694806212256933, 48.838478747895145], [2.2692291341955264, 48.83828922368902], [2.2688991507130165, 48.83804210888859], [2.268812658786489, 48.837911891312295], [2.2684150809993837, 48.83734430580116], [2.2682963188827077, 48.837201992546696], [2.267888270004138, 48.83673904341472], [2.267897299172248, 48.836647641171545]], ""type"": ""LineString""}";48.837681242572955, 2.2686924498375127
Bandes cyclables;;ZONE 30;CONTRESENS;Rue du Commandant Guilbaud;16;Non;48.50619158;0.04850619158;;;;;;;2020-12-31;"{""coordinates"": [[2.2516982330184843, 48.83918065889762], [2.251744134420797, 48.83874547919896]], ""type"": ""LineString""}";48.83896306904829, 2.251721183719641
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Chasseloup-Laubat;15;Non;75.18521139;0.07518521139;;;;;;;2020-12-31;"{""coordinates"": [[2.3048532138687543, 48.847753171099306], [2.305758031219627, 48.84807033382269]], ""type"": ""LineString""}";48.847911752461, 2.3053056225441906
Pistes cyclables;Non;ZONE 30;CONTRESENS;Rue Didot;14;Non;465.15843657;0.46515843657;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3217438233258063, 48.83437495377065], [2.321741410779968, 48.834283325556235], [2.3217262070051423, 48.83406669660193], [2.3217049528923, 48.83403802100186], [2.3209186632041243, 48.833107896154864], [2.320517973919765, 48.832461939842396], [2.3197690103258486, 48.83129881819082], [2.319355673496997, 48.83065754344098], [2.3192014919801727, 48.83059598593771]], ""type"": ""LineString""}";48.832452742712995, 2.3205363679520032
Pistes cyclables;Non;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;383.64723654;0.38364723654;;;Niveau chaussée;;;;2020-12-31;"{""coordinates"": [[2.3227038287153707, 48.82932330762466], [2.3227549527911484, 48.82938308726073], [2.323123346830557, 48.82982397103418], [2.3235169198393595, 48.83026927961025], [2.3235651449381614, 48.830330470649194], [2.3239974104841417, 48.830961128897435], [2.3244276048667962, 48.83158558757609], [2.3245076272573835, 48.8316964520988], [2.3248282866900447, 48.83215181415178], [2.3248752943772786, 48.832195864604444], [2.324956562085559, 48.83224984232444], [2.325158186410959, 48.8323392851005]], ""type"": ""LineString""}";48.83086399964888, 2.323912872900441
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Severo;14;Non;162.91001748;0.16291001748;;;;;;;2020-12-31;"{""coordinates"": [[2.3227150530616263, 48.83261057025649], [2.32306607966882, 48.83250309658011], [2.3232740614948657, 48.83244716242716], [2.323634081372305, 48.8323409278363], [2.323652426083583, 48.832316046081345], [2.3247260939572003, 48.832006694396114]], ""type"": ""LineString""}";48.832306309720224, 2.323719619725294
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Place de Brazzaville;15;Non;154.02014598;0.15402014598;;;;;;;2020-12-31;"{""coordinates"": [[2.285356654914287, 48.85172038814105], [2.2853404230599104, 48.85165505868646], [2.285338198758837, 48.851606979011635], [2.285347524134088, 48.85155801499673], [2.28537925535661, 48.85150537870392], [2.28542981279289, 48.85144714298911], [2.285485904852923, 48.85140607314698], [2.2859746309016584, 48.8511586604947], [2.286243220190003, 48.851029862746394], [2.286530400900299, 48.85091259715217], [2.286663725978314, 48.85086627721901], [2.2867253241040064, 48.85084427641182], [2.2867862664571006, 48.850817512238685]], ""type"": ""LineString""}";48.85118989993844, 2.2859742220900476
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Bellechasse;7;Non;454.55453189;0.45455453189;;;;;;;2020-12-31;"{""coordinates"": [[2.3230529194417366, 48.85846896449131], [2.322586854151399, 48.857980424799905], [2.32240109326575, 48.85778948548998], [2.3219319272260956, 48.857318533763554], [2.321108910034377, 48.85649530419677], [2.320380938829572, 48.855555104643734], [2.319936038619566, 48.8549683979875], [2.3199258552115607, 48.854947399515034]], ""type"": ""LineString""}";48.85675332813422, 2.321436549764778
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Bac;7;Non;416.82139697;0.41682139697000004;;;;;;;2020-12-31;"{""coordinates"": [[2.3241730901028843, 48.85029668268376], [2.3241379752789304, 48.85036311243752], [2.3236169254912844, 48.85161538457168], [2.323556936962729, 48.85179232236518], [2.323687815641017, 48.852821029484645], [2.323803312903944, 48.853646197099735], [2.323859061769103, 48.85398146203839]], ""type"": ""LineString""}";48.85210725023293, 2.3237668278787096
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Litré;6;Non;177.30897741;0.17730897741;;;;;;;2020-12-31;"{""coordinates"": [[2.3236519931995994, 48.846064655390954], [2.3239292185931126, 48.84548322849761], [2.324351930977259, 48.844636110491614], [2.324373093191111, 48.844616717416656], [2.3243941690261276, 48.84460398633483], [2.324457980158463, 48.84457626765193]], ""type"": ""LineString""}";48.84529536271291, 2.324027834716407
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Guillaumot;12;Non;85.86830886;0.08586830885999999;;;;;;;2020-12-31;"{""coordinates"": [[2.3771417228009573, 48.84540759426413], [2.3779613129856307, 48.845958720104775]], ""type"": ""LineString""}";48.84568315718445, 2.377551517893294
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Quentin-Bauchart;8;Non;200.49870966;0.20049870966;;;;;;;2021-12-31;"{""coordinates"": [[2.300916878478132, 48.86988765697837], [2.2989788459065403, 48.868616205017105]], ""type"": ""LineString""}";48.869251930997734, 2.299947862192336
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;51.22848936;0.05122848936;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3185106294669913, 48.82497634106995], [2.3188753791312258, 48.82536910246964]], ""type"": ""LineString""}";48.82517272176979, 2.3186930042991083
Pistes cyclables;Non;VOIE 50;SENS CIRCULATION GENERALE;BOULEVARD VINCENT AURIOL;13;Non;83.10050427;0.08310050427;;;Niveau chaussée;;;;2020-12-31;"{""coordinates"": [[2.3645603358735796, 48.83395271262396], [2.363549095837197, 48.83361675683697]], ""type"": ""LineString""}";48.833784734730465, 2.3640547158553886
Pistes cyclables;Oui;VOIE 50;SENS CIRCULATION GENERALE;Quai André Citroën;15;Non;23.44186363;0.02344186363;Latéral;Oui;Niveau trottoir;;;REVe;2020-12-31;"{""coordinates"": [[2.2711602381636236, 48.840317762805434], [2.271075587729428, 48.84028726463518], [2.271001869221316, 48.84024826560353], [2.270911142619759, 48.840188222772476]], ""type"": ""LineString""}";48.840259751951244, 2.2710322761010917
Bandes cyclables;;ZONE 30;CONTRESENS;Place Jacques Copeau;6;Non;14.16988892;0.01416988892;;;;;;;2020-12-31;"{""coordinates"": [[2.334157287743605, 48.853372719952944], [2.334204748818037, 48.85349624431174]], ""type"": ""LineString""}";48.85343448213234, 2.3341810182808214
Bandes cyclables;Non;ZONE 30;SENS CIRCULATION GENERALE;Rue du Cardinal Lemoins;5;Non;12.81597334;0.01281597334;;;;;;;2020-12-31;"{""coordinates"": [[2.3506712899258857, 48.84603490295364], [2.3505860586209817, 48.84598875284703], [2.35055228302219, 48.845979527335935], [2.350525669305902, 48.845974147685865]], ""type"": ""LineString""}";48.84599976236837, 2.35060026953967
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Ginoux;15;Non;344.88372941;0.34488372941;;;;;;;2020-12-31;"{""coordinates"": [[2.2852312595098185, 48.8486883669589], [2.288140991532518, 48.84757732124372], [2.2881822070953195, 48.847569000021224], [2.2893043525859, 48.84714258834631]], ""type"": ""LineString""}";48.84791335745447, 2.2872671322248666
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue Saint-Dominique;7;Non;122.83590682;0.12283590682000001;;;;;;;2021-12-31;"{""coordinates"": [[2.3149115906433972, 48.859981426255445], [2.3147604551781606, 48.85999742468474], [2.3132393302727823, 48.85999125997436]], ""type"": ""LineString""}";48.85999389569999, 2.31407584373836
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Bardinet;14;Non;161.2528595;0.1612528595;;;;;;;2020-12-31;"{""coordinates"": [[2.3161813092085146, 48.829798858467015], [2.317133906489419, 48.831105605198026]], ""type"": ""LineString""}";48.83045223183253, 2.316657607848967
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Fernand Pelloutier;17;Non;70.8512911;0.07085129109999999;;;;;;;2020-12-31;"{""coordinates"": [[2.3248317315831017, 48.898694007780264], [2.3241770560008597, 48.89824916385363], [2.3241518565131773, 48.898244262448095]], ""type"": ""LineString""}";48.89846452144023, 2.3244937146514286
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;8.67969438;0.00867969438;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3208492696916, 48.82742341634671], [2.3209180168160533, 48.82748692326103]], ""type"": ""LineString""}";48.82745516980386, 2.3208836432538265
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;28.93999938;0.02893999938;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.306980063013265, 48.82851002738924], [2.3071720405445566, 48.828599140253495], [2.307256480308468, 48.828618666532286], [2.307312334314386, 48.82864659286245]], ""type"": ""LineString""}";48.828581142443284, 2.307145319135495
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Pauly;14;Non;110.9709385;0.1109709385;;;;;;;2020-12-31;"{""coordinates"": [[2.312334247469949, 48.83093292677397], [2.3132977254575375, 48.83016390210001]], ""type"": ""LineString""}";48.83054841443699, 2.312815986463743
Bandes cyclables;;ZONE 30;SENS CIRCULATION GENERALE;Rue Riquet;18;Non;26.89129433;0.026891294330000003;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.363509871639856, 48.88989085890875], [2.3638764349689856, 48.88988352940347]], ""type"": ""LineString""}";48.88988719415611, 2.3636931533044208
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Alphonse Aulard;19;Non;101.10584291;0.10110584291000001;;;;;;;2020-12-31;"{""coordinates"": [[2.3998503831466618, 48.880652396370024], [2.3996038711016463, 48.88056740330981], [2.3995731867967103, 48.88053774339048], [2.398650470870208, 48.88021283461164]], ""type"": ""LineString""}";48.88042892278437, 2.399252881780273
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de Colmiers;14;Non;189.98037402;0.18998037402;;;;;;;2020-12-31;"{""coordinates"": [[2.3212995734089503, 48.825401829816826], [2.3237552822917436, 48.824863208973575]], ""type"": ""LineString""}";48.8251325193952, 2.322527427850347
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Bénard;14;Non;275.3027163;0.27530271629999997;;;;;;;2020-12-31;"{""coordinates"": [[2.3239700802853442, 48.83103448569326], [2.3210016516681233, 48.832161068013626], [2.3208442665741615, 48.832206576712586], [2.320797086918649, 48.83223129430194], [2.3207851098435106, 48.83226525499338], [2.3207941331865176, 48.832291957379226]], ""type"": ""LineString""}";48.83164745766018, 2.3223546316257666
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Olivier Noyer;14;Non;108.67989474;0.10867989473999999;;;;;;;2020-12-31;"{""coordinates"": [[2.320149082289898, 48.83174358570559], [2.321385181316762, 48.83120567742252]], ""type"": ""LineString""}";48.83147463156404, 2.32076713180333
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Asseline;14;Non;137.7174488;0.1377174488;;;;;;;2020-12-31;"{""coordinates"": [[2.3218456131045557, 48.83439400494178], [2.32295111301873, 48.835394699233746]], ""type"": ""LineString""}";48.834894352087765, 2.3223983630616427
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Coq Héron;1;Non;65.92794048;0.06592794048;;;;;;;2020-12-31;"{""coordinates"": [[2.3418967980491887, 48.8640984104061], [2.3419444129498714, 48.864105792347324], [2.3420300791189588, 48.86417645910416], [2.3424244223062445, 48.86436541879042], [2.34246774391623, 48.86436208730666], [2.3426421278553655, 48.86432864977723]], ""type"": ""LineString""}";48.86426445265418, 2.3422593769276165
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Rouelle;15;Non;338.34136336;0.33834136336;;;;;;;2020-12-31;"{""coordinates"": [[2.29094432868443, 48.84901839342262], [2.290819987336165, 48.849055893788005], [2.290353810772158, 48.84923921239031], [2.290235590775593, 48.84928895730899], [2.2896911782190945, 48.84949798423316], [2.2885922129684264, 48.84991835003146], [2.2884171341693684, 48.84997864003557], [2.287113743977459, 48.85047828626086], [2.2870425173340334, 48.8504968788724], [2.2869475542694873, 48.85053295838714]], ""type"": ""LineString""}";48.8497787271582, 2.2889470847040716
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue des Quatres Frères Peignot;15;Non;143.43884419;0.14343884419;;;;;;;2020-12-31;"{""coordinates"": [[2.283258860704107, 48.84645711357611], [2.2832578626046263, 48.846529684643976], [2.2835111470428417, 48.846857203960326], [2.28384786578828, 48.847279214773764], [2.283883833482152, 48.847311792834155], [2.2841199451347274, 48.847605448326036]], ""type"": ""LineString""}";48.84704152313389, 2.2836642241509
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Bourgogne;7;Non;519.79356941;0.51979356941;;;;;;;2020-12-31;"{""coordinates"": [[2.316896540558749, 48.855735211189376], [2.316943956628041, 48.8558592178522], [2.3177048648447656, 48.85816502147569], [2.3180081563829837, 48.85923873476891], [2.3181677446957374, 48.85982160138774], [2.318282534782472, 48.86031822978948]], ""type"": ""LineString""}";48.85801498074833, 2.3176292893841235
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue de Grenelle;7;Non;322.22776033;0.32222776033;;;;;;;2020-12-31;"{""coordinates"": [[2.325863473844448, 48.85444102848182], [2.326163535740871, 48.85428961416057], [2.3263077398402574, 48.85424483781967], [2.3269312513666254, 48.85399016601233], [2.3273497783127586, 48.853831899986915], [2.3274966524726373, 48.853767287535575], [2.3278151775533034, 48.853673895813536], [2.3279039760722617, 48.85363870098948], [2.328639865793001, 48.85319666619211], [2.3291671366825337, 48.85285339920327], [2.3293581134944654, 48.852723594516846]], ""type"": ""LineString""}";48.853655557310816, 2.327648695147403
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de la Planche;7;Non;108.15230147;0.10815230147;;;;;;;2020-12-31;"{""coordinates"": [[2.3255981823152996, 48.85357350337769], [2.325127860767957, 48.852719701466626], [2.3251011576784375, 48.85269337506806], [2.325056257504845, 48.85268003435804]], ""type"": ""LineString""}";48.85311068227043, 2.3253416487577514
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;10.56772311;0.01056772311;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3188753791312258, 48.82536910246964], [2.318950622614059, 48.82545012350317]], ""type"": ""LineString""}";48.825409612986405, 2.3189130008726426
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;43.3157671;0.0433157671;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.305782004865663, 48.82794239734188], [2.3062574350764558, 48.82817309651638]], ""type"": ""LineString""}";48.82805774692913, 2.3060197199710597
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue des Saints Pères;6;Non;311.02139579;0.31102139579;;;;;;;2020-12-31;"{""coordinates"": [[2.3286801597238562, 48.85193415233492], [2.3286680024007973, 48.85198215116641], [2.328666149877966, 48.85201402658003], [2.32868520960811, 48.85204601932533], [2.328708698837763, 48.85206994720114], [2.3293562235783667, 48.85263610441538], [2.329441550303176, 48.85278649456952], [2.32949504369209, 48.85288863926038], [2.3297875091965055, 48.85336285616856], [2.3300566042424884, 48.853804104012966], [2.330360250299419, 48.85430693709578], [2.330406280443952, 48.85437287009242], [2.330431330891779, 48.85438776329147], [2.330470852557063, 48.85439893048882], [2.3305065051351335, 48.854399482522304]], ""type"": ""LineString""}";48.85314938772955, 2.329606947438182
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Jacques Kablé;18;Non;126.19904892;0.12619904892;;;;;;;2020-12-31;"{""coordinates"": [[2.362803307171425, 48.886285521221964], [2.362792087509289, 48.886258811784465], [2.3627714817192675, 48.886232528135444], [2.3627277683780896, 48.88620754872633], [2.3626896117634, 48.88620020768287], [2.361159437840417, 48.88610877105002]], ""type"": ""LineString""}";48.886161419514565, 2.361999288750107
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Professeur Gosset;18;Non;224.21671036;0.22421671036000002;;;;;;;2020-12-31;"{""coordinates"": [[2.3449909332065624, 48.90128087793317], [2.348047843511052, 48.90134467023805]], ""type"": ""LineString""}";48.90131277408562, 2.346519388358807
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Fessart;19;Non;67.56361458;0.06756361458;;;;;;;2020-12-31;"{""coordinates"": [[2.383936302257226, 48.87678995285325], [2.3838141584127066, 48.876802636115684], [2.383051165574813, 48.876955753064195]], ""type"": ""LineString""}";48.87686789590014, 2.3834929808844794
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Christophe Colomb;8;Non;182.11909924;0.18211909924;;;;;;;2021-12-31;"{""coordinates"": [[2.298476396465296, 48.86963407756423], [2.3008822618737916, 48.870038396410116]], ""type"": ""LineString""}";48.86983623698717, 2.299679329169544
Pistes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;4.20973659;0.004209736590000001;;;;;Passage piéton;;2021-12-31;"{""coordinates"": [[2.334970791396225, 48.85291453106484], [2.3349154330356066, 48.85290459396835]], ""type"": ""LineString""}";48.852909562516594, 2.3349431122159157
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Marie Pape-Carpantier;6;Non;75.30468088;0.07530468088;;;;;;;2020-12-31;"{""coordinates"": [[2.3318047761824308, 48.85076416368458], [2.3317217890190616, 48.85076845959965], [2.331366302029056, 48.850793838300824], [2.331297890116248, 48.85078631686858], [2.3307870631797236, 48.85083462167619]], ""type"": ""LineString""}";48.85079527240376, 2.3312956394716973
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Moulin Vert;14;Non;244.86998418;0.24486998418;;;;;;;2020-12-31;"{""coordinates"": [[2.326287445432093, 48.829099216163875], [2.323160804313469, 48.82986635204345]], ""type"": ""LineString""}";48.82948278410366, 2.3247241248727812
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue Saint-Charles;15;Non;41.13373044;0.04113373044;;;;;Traversée de carrefour;;2020-12-31;"{""coordinates"": [[2.287735330787815, 48.84919178370666], [2.287457082582387, 48.84887065405587]], ""type"": ""LineString""}";48.849031218881265, 2.2875962066851008
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Passage des Arts;14;Non;64.78443245;0.06478443245;;;;;;;2020-12-31;"{""coordinates"": [[2.321806971665769, 48.835182978193316], [2.3217549779190123, 48.835190624824925], [2.3217180456436273, 48.83520326471455], [2.3211460213727597, 48.8355607654342]], ""type"": ""LineString""}";48.83535919499775, 2.3214714824088314
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Chanaleille;7;Non;126.31049833;0.12631049833;;;;;;;2020-12-31;"{""coordinates"": [[2.3192094423236096, 48.85306835994375], [2.317509657489431, 48.85324761986854]], ""type"": ""LineString""}";48.85315798990615, 2.3183595499065204
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Place de l'Odéon;6;Non;65.21459375;0.06521459375000001;;;;;;;2021-12-31;"{""coordinates"": [[2.3384423515994084, 48.849775390415246], [2.3384447642300046, 48.849804114859424], [2.3384564850432454, 48.84984653582858], [2.338498382303236, 48.84989769002337], [2.338561322609376, 48.849938490211066], [2.3386367765705933, 48.849959371308294], [2.3387239541117606, 48.849965564088066], [2.3387918021591383, 48.84996070479914], [2.338876470653036, 48.84993737657151], [2.3389266166235605, 48.849906719339785], [2.338958051254748, 48.849873103246566], [2.3389852694159625, 48.849830897465495], [2.3389945561220324, 48.849780978647914]], ""type"": ""LineString""}";48.84990618540883, 2.3387156672766225
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Giorano Bruno;14;Non;208.68860273;0.20868860273;;;;;;;2020-12-31;"{""coordinates"": [[2.319550099762101, 48.826195561558585], [2.3169388702908083, 48.82675535143012], [2.3168622556330036, 48.826794764371584]], ""type"": ""LineString""}";48.82648482018118, 2.3182024823353413
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Paul-Henri Grauwin;12;Non;134.2547777;0.1342547777;;;;;;;2020-12-31;"{""coordinates"": [[2.3771031641120324, 48.845383100052445], [2.377265644130891, 48.84529544909273], [2.377308582244485, 48.84526235857076], [2.377486914649334, 48.84506197612927], [2.378085663766226, 48.844374543037276]], ""type"": ""LineString""}";48.84490442811335, 2.377615427512115
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Bois;19;Non;60.68908242;0.06068908242;;;;;;;2020-12-31;"{""coordinates"": [[2.400134426393089, 48.87852571542123], [2.4009414677416325, 48.87864624578323]], ""type"": ""LineString""}";48.87858598060223, 2.4005379470673605
Pistes cyclables;Non;VOIE 50;SENS CIRCULATION GENERALE;BOULEVARD VINCENT AURIOL;13;Non;63.16626261;0.06316626261;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3714013511511367, 48.836114362683496], [2.3712325935287613, 48.836022940119456], [2.3710887804751724, 48.83594992178616], [2.3709949604464873, 48.83590457706354], [2.3708860850530193, 48.83585582902268], [2.3707086931621424, 48.83577804863055]], ""type"": ""LineString""}";48.835939847728, 2.371058120947756
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Compans;19;Non;102.99285828;0.10299285827999999;;;;;;;2020-12-31;"{""coordinates"": [[2.3913260531914156, 48.879511224095396], [2.391240672253574, 48.879531729042704], [2.3908101425081245, 48.87969753098643], [2.3904988062600734, 48.87985108775172], [2.390174146903079, 48.88003313041513]], ""type"": ""LineString""}";48.87974797003874, 2.3907396046437865
Bandes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;24.94230144;0.024942301440000002;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3215854449065887, 48.82811630284398], [2.3217221552541893, 48.8282453312378], [2.3217785141310263, 48.8283008690101]], ""type"": ""LineString""}";48.82820815380272, 2.3216823962609157
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Antoine Chantin;14;Non;255.98178986;0.25598178986;;;;;;;2020-12-31;"{""coordinates"": [[2.324317054008664, 48.82678973527723], [2.322637296140868, 48.82719904343785], [2.3210436254750055, 48.82758264219338]], ""type"": ""LineString""}";48.82718733568015, 2.3226806175154286
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;6.47156747;0.00647156747;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3062574350764558, 48.82817309651638], [2.3063284671726083, 48.82820756350919]], ""type"": ""LineString""}";48.82819033001279, 2.306292951124532
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de Ridder;14;Non;177.36287875;0.17736287874999998;;;;;;;2020-12-31;"{""coordinates"": [[2.3104971782453467, 48.83207288773719], [2.3122114902863395, 48.830948878228675]], ""type"": ""LineString""}";48.83151088298293, 2.311354334265843
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue de Varenne;7;Non;7.30785347;0.00730785347;;;;;;;2020-12-31;"{""coordinates"": [[2.326328127665576, 48.85342425799639], [2.3262980100017545, 48.85342657694373], [2.326231416440511, 48.853439159899764]], ""type"": ""LineString""}";48.85343057129597, 2.3262796212393964
Pistes cyclables;Oui;VOIE 50;SENS CIRCULATION GENERALE;Quai d'Issy-Les-Moulineaux;15;Non;315.72523011;0.31572523011;Axial;Oui;Niveau chaussée;;;REVe;2020-12-31;"{""coordinates"": [[2.2694693541483626, 48.83882866413544], [2.2694132817540953, 48.83877274217809], [2.269332311465541, 48.83868563071699], [2.269267173959488, 48.83860051898972], [2.269227570532611, 48.838545546546314], [2.2691656310858983, 48.838438085955985], [2.2691052413836146, 48.838323020689245], [2.2690368136774928, 48.83816412112103], [2.2689851488786537, 48.838043872920515], [2.268925307171132, 48.83794118446069], [2.268722506780143, 48.83764772988758], [2.2685210698713596, 48.837359994249105], [2.268333891475478, 48.83713516766278], [2.2680569932121792, 48.836830787907466], [2.2677867713215503, 48.8365645224515], [2.2675273540172896, 48.83631168899535]], ""type"": ""LineString""}";48.83752461069732, 2.26855948797426
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Poirier de Narçay;14;Non;154.49641592;0.15449641592;;;;;;;2020-12-31;"{""coordinates"": [[2.323602618171662, 48.82442019975129], [2.325601189998419, 48.82398531053316]], ""type"": ""LineString""}";48.824202755142224, 2.3246019040850405
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Passage Joanès;14;Non;54.29357262;0.05429357262;;;;;;;2020-12-31;"{""coordinates"": [[2.3171751290008737, 48.82838863805851], [2.317137075285067, 48.828404602379095], [2.316619119124482, 48.8287100411401]], ""type"": ""LineString""}";48.82854700135772, 2.316895950939552
Pistes cyclables;;ZONE 30;SENS CIRCULATION GENERALE;Rue Riquet;18;Non;28.21963576;0.02821963576;;;Niveau chaussée;;Arrêt de bus;;2021-12-31;"{""coordinates"": [[2.367606851475217, 48.8897136919345], [2.367990303216785, 48.889692111026086]], ""type"": ""LineString""}";48.88970290148029, 2.367798577346001
