Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Bandes cyclables;;ZONE 30;CONTRESENS;Rue de l'Orme;19;Non;108.95199369;0.10895199369;;;;;;;2020-12-31;"{""coordinates"": [[2.400112012776364, 48.87858505864927], [2.4000989066343887, 48.87861975743471], [2.3997489345709506, 48.87953515109693]], ""type"": ""LineString""}";48.87906013042573, 2.3999305409150273
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Louis Morard;14;Non;209.49631086;0.20949631086;;;;;;;2020-12-31;"{""coordinates"": [[2.3217024428044204, 48.828321246464355], [2.3202756777892666, 48.82886497641131], [2.319268242630619, 48.82925033124223], [2.3192308498182457, 48.82926294170714]], ""type"": ""LineString""}";48.8287924538502, 2.3204667674822623
Pistes cyclables;Oui;VOIE 50;SENS CIRCULATION GENERALE;Quai d'Issy-Les-Moulineaux;15;Non;262.04838363;0.26204838363;Axial;Oui;Niveau trottoir;;;REVe;2020-12-31;"{""coordinates"": [[2.265722288318241, 48.83445775968817], [2.265703920683299, 48.83452721468581], [2.265633058012129, 48.83456070954458], [2.265562057376229, 48.834615302911146], [2.265684059297469, 48.83470125091443], [2.266023266266855, 48.83503314628177], [2.266149932395509, 48.83515099990927], [2.2664182297997346, 48.835399173023546], [2.266656701682824, 48.83561527610801], [2.2669075511305685, 48.835822887065554], [2.2670109013559028, 48.83590728297091], [2.267352189737441, 48.836143526528296], [2.267530330336501, 48.836292628758855], [2.2675573525987773, 48.83631840756034]], ""type"": ""LineString""}";48.83540572747667, 2.266470415914386
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Alfred Durand-Claye;14;Non;89.21383332;0.08921383332;;;;;;;2020-12-31;"{""coordinates"": [[2.3073718491409783, 48.82885677951934], [2.307380852370762, 48.82888443536582], [2.3073878014264766, 48.828903988511634], [2.3073904181073543, 48.82892399233757], [2.3073689524610086, 48.828966225118194], [2.3073460393448806, 48.82900892528122], [2.307027594367767, 48.8295115576032], [2.306968713715705, 48.82960283149169]], ""type"": ""LineString""}";48.829235167372694, 2.3071990174108956
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Jonquoy;14;Non;267.70908772;0.26770908772;;;;;;;2020-12-31;"{""coordinates"": [[2.31383213920462, 48.83036328699034], [2.314525935927332, 48.82995440417328], [2.316561697187561, 48.828766733513476]], ""type"": ""LineString""}";48.829563866442186, 2.3151962475021204
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de la Chaise;7;Non;184.85574995;0.18485574994999998;;;;;;;2020-12-31;"{""coordinates"": [[2.3273497783127586, 48.853831899986915], [2.327271699173501, 48.85362379256856], [2.3271307733798956, 48.853199916057065], [2.3269348275510287, 48.852569184348035], [2.3269157178386273, 48.8524853170471], [2.3268455965671393, 48.85227504592173], [2.326829923689408, 48.85226020469182], [2.3268046970127134, 48.85225911034204], [2.326751157575199, 48.85226066447399]], ""type"": ""LineString""}";48.85300996031097, 2.3270735149621395
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Varenne;7;Non;53.13236187;0.05313236187;;;;;;;2020-12-31;"{""coordinates"": [[2.3264404584621894, 48.85333218204657], [2.3271213721212454, 48.85316965381003]], ""type"": ""LineString""}";48.8532509179283, 2.3267809152917174
Bandes cyclables;;ZONE 30;CONTRESENS;Rue des Wallons;13;Non;208.79411968;0.20879411968;;;;;;;2020-12-31;"{""coordinates"": [[2.358380048943546, 48.83812474978938], [2.3605402115883107, 48.83893466465092], [2.360603161103359, 48.83894570898441], [2.3606861708267064, 48.83893782454741], [2.360767683149847, 48.83890494590227], [2.3608077423084293, 48.83887184660046], [2.3608333396281966, 48.838842238689935]], ""type"": ""LineString""}";48.83857773436264, 2.3596133172176565
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Jacquier;14;Non;225.29766624;0.22529766624;;;;;;;2020-12-31;"{""coordinates"": [[2.3192308498182457, 48.82926294170714], [2.318702046442906, 48.829441283402645], [2.3183993492015786, 48.82954711686537], [2.3180902825494623, 48.82964387001511], [2.3179047564341038, 48.82971943530048], [2.3174970970267883, 48.82985845825636], [2.3172695146330335, 48.8299528196345], [2.3171107927108814, 48.83001806615591], [2.3165144015811063, 48.830201696263096]], ""type"": ""LineString""}";48.82973341004282, 2.3178727338898493
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Place André Malraux;1;Non;43.47173499;0.043471734990000004;;;;;;;2020-12-31;"{""coordinates"": [[2.335844484886084, 48.863892688629896], [2.33528384576263, 48.86401926008055]], ""type"": ""LineString""}";48.86395597435522, 2.335564165324357
